,FIPS,STATE,AREA_NAME,stay at home,>50 gatherings,>500 gatherings,public schools,restaurant dine-in,entertainment/gym,federal guidelines,foreign travel ban,stay at home rollback,>50 gatherings rollback,>500 gatherings rollback,restaurant dine-in rollback,entertainment/gym rollback
182,28075,MS,lauderdale county,737515,737509,737509,737504,737509,737509,737500,737495,737541,737577,737577,737546,737546
183,28083,MS,leflore county,737521,737509,737509,737504,737509,737509,737500,737495,737541,737577,737577,737546,737546
184,28099,MS,neshoba county,737521,737509,737509,737504,737509,737509,737500,737495,737541,737577,737577,737546,737546
185,29000_0,MO,"Missouri Super-county, Cluster 1",737521,737505,737505,737503,737505,737521,737500,737495,NA,NA,NA,NA,NA
186,29000_1,MO,"Missouri Super-county, Cluster 2",737508,737505,737505,737503,737505,737521,737500,737495,NA,NA,NA,NA,NA
187,29183,MO,st. charles county,737521,737505,737505,737503,737505,737521,737500,737495,NA,NA,NA,NA,NA
188,29189,MO,st. louis county,737507,737505,737505,737503,737505,737521,737500,737495,NA,NA,NA,NA,NA
189,31000_0,NE,"Nebraska Super-county, Cluster 1",740000,737503,737503,737503,737519,737519,737500,737495,737592,NA,NA,737556,737556
190,31055,NE,douglas county,740000,737503,737503,737503,737519,737519,737500,737495,737592,NA,NA,737556,737556
191,32003,NV,clark county,737516,737508,737508,737500,737504,737504,737500,737495,737585,NA,NA,737547,737547
192,32031,NV,washoe county,737516,737508,737508,737500,737504,737504,737500,737495,737585,NA,NA,737547,737547
193,33011,NH,hillsborough county,737511,737508,737508,737500,737500,737511,737500,737495,NA,NA,NA,737560,737560
194,33015,NH,rockingham county,737511,737508,737508,737500,737500,737511,737500,737495,NA,NA,NA,737560,737560
195,34001,NJ,atlantic county,737505,737500,737500,737502,737500,737500,737500,737495,737584,NA,NA,737584,737584
196,34003,NJ,bergen county,737505,737500,737500,737502,737500,737500,737500,737495,737584,NA,NA,737584,737584
197,34005,NJ,burlington county,737505,737500,737500,737502,737500,737500,737500,737495,737584,NA,NA,737584,737584
198,34007,NJ,camden county,737505,737500,737500,737502,737500,737500,737500,737495,737584,NA,NA,737584,737584
199,34009,NJ,cape may county,737505,737500,737500,737502,737500,737500,737500,737495,737584,NA,NA,737584,737584
200,34011,NJ,cumberland county,737505,737500,737500,737502,737500,737500,737500,737495,737584,NA,NA,737584,737584
201,34013,NJ,essex county,737505,737500,737500,737502,737500,737500,737500,737495,737584,NA,NA,737584,737584
202,34015,NJ,gloucester county,737505,737500,737500,737502,737500,737500,737500,737495,737584,NA,NA,737584,737584
203,34017,NJ,hudson county,737505,737500,737500,737502,737500,737500,737500,737495,737584,NA,NA,737584,737584
