GEO.display-label; Total; Total_Male; Total_Female;Total_age0to17;Male_age0to17;Female_age0to17;Total_age18to64;Male_age18to64;Female_age18to64;Total_age65plus;Male_age65plus;Female_age65plus;Total_age85plusr;Male_age85plusr;Female_age85plusr
"Lumpkin County, Georgia";32955;16335;16620;5798;2998;2800;21371;10643;10728;5786;2694;3092;494;186;308
"McDuffie County, Georgia";21531;10081;11450;5400;2694;2706;12354;5826;6528;3777;1561;2216;327;92;235
"McIntosh County, Georgia";14340;7001;7339;2316;1195;1121;8196;3998;4198;3828;1808;2020;367;162;205
"Macon County, Georgia";13143;7203;5940;2462;1219;1243;8411;4949;3462;2270;1035;1235;190;73;117
"Madison County, Georgia";29650;14661;14989;6837;3571;3266;17781;8726;9055;5032;2364;2668;441;165;276
"Marion County, Georgia";8351;4112;4239;1775;868;907;4905;2459;2446;1671;785;886;129;57;72
"Meriwether County, Georgia";21068;10085;10983;4488;2266;2222;12290;5972;6318;4290;1847;2443;481;143;338
"Miller County, Georgia";5686;2725;2961;1294;673;621;3128;1512;1616;1264;540;724;192;67;125
"Mitchell County, Georgia";22192;11510;10682;5034;2614;2420;13544;7391;6153;3614;1505;2109;395;119;276
"Monroe County, Georgia";27520;13723;13797;5633;2890;2743;16784;8486;8298;5103;2347;2756;595;168;427
"Montgomery County, Georgia";9193;4727;4466;1849;934;915;5769;3100;2669;1575;693;882;113;43;70
"Morgan County, Georgia";18853;9068;9785;4295;2178;2117;10779;5198;5581;3779;1692;2087;374;143;231
"Murray County, Georgia";39921;19623;20298;9891;5049;4842;24099;11938;12161;5931;2636;3295;479;176;303
"Muscogee County, Georgia";194160;94349;99811;48112;24533;23579;120044;59252;60792;26004;10564;15440;3209;991;2218
"Newton County, Georgia";109541;51731;57810;28413;14520;13893;66867;31141;35726;14261;6070;8191;1336;401;935
"Oconee County, Georgia";39272;19271;20001;10505;5380;5125;22812;11095;11717;5955;2796;3159;600;238;362
"Oglethorpe County, Georgia";15054;7439;7615;3148;1608;1540;9068;4536;4532;2838;1295;1543;290;96;194
"Paulding County, Georgia";164044;79857;84187;42844;21666;21178;103806;50735;53071;17394;7456;9938;1342;429;913
"Peach County, Georgia";27297;13158;14139;5700;2893;2807;17230;8371;8859;4367;1894;2473;401;151;250
"Pickens County, Georgia";31980;15696;16284;6500;3312;3188;18476;9078;9398;7004;3306;3698;559;214;345
"Pierce County, Georgia";19389;9586;9803;4807;2477;2330;11280;5617;5663;3302;1492;1810;304;111;193
"Pike County, Georgia";18634;9164;9470;4359;2259;2100;11306;5543;5763;2969;1362;1607;280;82;198
"Polk County, Georgia";42470;20992;21478;10778;5489;5289;25117;12618;12499;6575;2885;3690;654;220;434
